image_path,tree_lat,tree_lng,lat_offset,lng_offset,gpt_species,gpt_common_name,gpt_description,address
https://treeinventory-images.s3.amazonaws.com/M0beCxxBXIPg1VezZae15A_view1_tree0_box0.jpg,30.71091489,76.80088482,0,0,Marginatum,Indian Bansal,"A large, tropical tree known for its dense canopy and glossy leaves, often found in urban landscapes.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/M0beCxxBXIPg1VezZae15A_view0_tree0_box0.jpg,30.71097457,76.80088222,0,0,Ficus carica,Common Fig,"A deciduous tree with broad, lobed leaves, often bearing edible fruit, commonly found in warmer climates.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/u8oXlNFy3PquowKapdhcpA_view1_tree0_box0.jpg,30.71100433,76.80080537,0,0,Pyrus calleryana,Callery Pear,A deciduous tree known for its white spring flowers and distinctive rounded shape. It exhibits glossy green leaves that turn vibrant colors in the fall.,"Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/u8oXlNFy3PquowKapdhcpA_view0_tree0_box0.jpg,30.71103943,76.80080029,0,0,Ficus carica,Fig Tree,"A deciduous tree that produces edible figs, known for its lobed leaves and spreading branches.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/S6ohcCyuc-SG3_CVKigVSQ_view0_tree0_box0.jpg,30.71110524,76.80071595,0,0,Ficus carica,Fig Tree,A small to medium-sized deciduous tree known for its broad leaves and sweet edible fruits. Fig trees thrive in warm climates and are often found in gardens.,"Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/OIuqQ8FpRizpFMLSUBqMww_view2_tree0_box0.jpg,30.71115125,76.8009732,0,0,Ficus carica,Common Fig,"A deciduous tree known for its large, lobed leaves and sweet edible fruit, commonly found in temperate and subtropical regions.",Chandigarh
https://treeinventory-images.s3.amazonaws.com/Ijmg935UMWCqqq8e2R9u-g_view0_tree0_box0.jpg,30.7111747,76.80064396,0,0,Morus alba,White Mulberry,"A fast-growing tree known for its broad, lobed leaves and edible fruit, which is popular among silkworms for silk production.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/sOAoJCvh0HSjjz00EHZ1RA_view2_tree0_box0.jpg,30.7111857,76.80091952,0,0,Ficus carica,Fig Tree,"A deciduous tree known for its broad leaves and edible fruit, commonly found in temperate regions.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/bP7FUjZuo6MBraZdOaSkHg_view2_tree0_box0.jpg,30.71131682,76.80075812,0,0,Ficus carica,Fig Tree,"A deciduous tree known for its large leaves and edible fruits, often found in temperate regions.","Udyog Path, Chandigarh"
https://treeinventory-images.s3.amazonaws.com/XfVSPyrQmfW6soOzXqszCw_view1_tree0_box0.jpg,30.71138678,76.80043623,0,0,Ficus carica,Fig Tree,"A deciduous tree known for its lush foliage and edible fruit, often found in temperate regions.","Udyog Path, Chandigarh"
